post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47618189,Tailscale's new macOS home,technology,380,193,tosh,2026-04-03T10:41:09.440248,0.5065616797900262,True
47617415,Good ideas do not need lots of lies in order to gain public acceptance (2008),technology,203,87,sedev,2026-04-03T10:41:13.873076,0.4264705882352941,True
47621792,Post Mortem: axios NPM supply chain compromise,technology,56,30,Kyro38,2026-04-03T10:41:14.487956,0.5263157894736842,False
47617376,OpenAI Acquires TBPN,technology,177,148,surprisetalk,2026-04-03T10:41:21.275651,0.8314606741573034,True
47620933,Memo: A language that remembers only the last 12 lines of code,technology,35,13,notem,2026-04-03T10:41:23.825438,0.3611111111111111,False
47615490,Artemis computer running two instances of MS outlook; they can't figure out why,technology,357,275,mooreds,2026-04-03T10:41:24.429913,0.7681564245810056,True
47612724,Lemonade by AMD: a fast and open source local LLM server using GPU and NPU,technology,470,106,AbuAssar,2026-04-03T10:41:26.880969,0.22505307855626328,True
47596739,Mercor says it was hit by cyberattack tied to compromise LiteLLM,technology,139,43,jackson-mcd,2026-04-03T10:41:42.497803,0.30714285714285716,False
47611921,Significant raise of reports,technology,291,148,stratos123,2026-04-03T10:41:43.101483,0.5068493150684932,True
47615876,The case for zero-error horizons in trustworthy LLMs,technology,71,100,daigoba66,2026-04-03T10:41:43.931288,1.3888888888888888,False
47620039,"Reporting potholes with an ESP32, LoRA, and AI",technology,10,0,flakespancakes,2026-04-03T10:41:48.750153,0.0,False
47612558,Enabling Codex to Analyze Two Decades of Hacker News Data,technology,76,30,ronfriedhaber,2026-04-03T10:41:51.168276,0.38961038961038963,False
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,technology,42,1,mirzap,2026-04-03T10:41:54.796275,0.023255813953488372,False
47619322,A $20/month user costs OpenAI $65 in compute. AI video is a money furnace,technology,62,37,Aedelon,2026-04-03T10:41:55.383934,0.5873015873015873,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,technology,17,3,j0rg3,2026-04-03T10:41:56.581345,0.16666666666666666,False
47609694,Email obfuscation: What works in 2026?,technology,344,95,jaden,2026-04-03T10:41:57.185270,0.2753623188405797,True
47622941,Iran targeted Amazon data centers,technology,5,2,ranit,2026-04-03T10:41:57.797765,0.3333333333333333,False
47557385,The revenge of the data scientist,technology,170,36,hamelsmu,2026-04-03T10:42:02.554030,0.21052631578947367,True
47620155,Marc Andreessen Is Right That AI Isn't Killing Jobs. Interest Rate Hikes Are,technology,26,6,bigbobbeeper,2026-04-03T10:42:03.743598,0.2222222222222222,False
47610245,Things I Think I Think... Preferring Local OSS LLMs,technology,43,9,zdw,2026-04-03T10:42:05.597585,0.20454545454545456,False
47620426,Amazon data center in Bahrain attacked by Iranian Revolutionary Guards,technology,21,1,topherPedersen,2026-04-03T10:42:08.093311,0.045454545454545456,False
47617463,Users say Adobe Creative Cloud rewrote hosts file to detect installed app,technology,52,5,bobsoap,2026-04-03T10:42:11.111828,0.09433962264150944,False
47588103,"On the trail of ancient art, deep in the Sahara",technology,26,3,bookofjoe,2026-04-03T10:42:12.290238,0.1111111111111111,False
47615002,Qwen3.6-Plus: Towards real world agents,worldnews,471,165,pretext,2026-04-03T10:42:22.175667,0.3495762711864407,True
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,261,121,Growtika,2026-04-03T10:42:40.119914,0.4618320610687023,True
47618221,The Australian government has announced gambling advertising reforms,worldnews,111,81,gostsamo,2026-04-03T10:42:49.863663,0.7232142857142857,False
47541746,Show HN: Forkrun – NUMA-aware shell parallelizer (50×–400× faster than parallel),worldnews,149,41,jkool702,2026-04-03T10:43:55.567932,0.2733333333333333,True
